,title,mean,rank,popularity,num_list_users,num_scoring_users,status,num_chapters,ranking.rank,rating,members,genres0
0,Berserk,9.42,1.0,2,485986,233057,on_hiatus,380,1,8.4,226430,Action
1,One Piece,9.17,3.0,3,452823,275656,currently_publishing,0,3,8.58,504862,Action
2,Monster,9.11,5.0,33,169401,65394,finished,162,5,8.72,247562,Drama
3,Fullmetal Alchemist,9.07,6.0,16,251150,136992,finished,116,6,8.33,600384,Action
5,Slam Dunk,9.04,9.0,68,118748,53845,finished,276,9,8.56,82570,Sports
6,Kingdom,8.99,10.0,65,125120,45871,currently_publishing,0,10,8.24,54211,Action
7,Ashita no Joe,8.94,14.0,352,37737,12303,finished,171,14,8.22,15442,Drama
8,Houseki no Kuni,8.92,15.0,135,79793,24725,currently_publishing,0,15,6.13,1156,Action
12,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.24,4659.0,1108,13183,2872,currently_publishing,0,4659,5.99,718,Comedy
13,Koe no Katachi,8.86,23.0,20,233387,126336,finished,64,23,9.05,102733,Drama
16,Ookami to Koushinryou,8.46,143.0,380,34903,11727,finished,108,143,8.37,334932,Adventure
17,Haikyuu!!,8.84,26.0,31,172965,81651,finished,407,26,8.68,284498,Comedy
19,Akatsuki no Yona,8.83,27.0,76,108831,39975,currently_publishing,0,27,8.23,216674,Action
20,Kaze no Tani no Nausicaä,8.83,28.0,258,46891,14105,finished,59,28,8.47,143273,Action
22,Uchuu Kyoudai,8.79,32.0,478,27333,6735,currently_publishing,0,32,8.59,72958,Drama
24,Nana,8.75,38.0,97,96459,33071,on_hiatus,84,38,8.55,197256,Drama
25,Mushishi,8.75,39.0,169,65706,16412,finished,50,39,8.78,300030,Fantasy
26,Yokohama Kaidashi Kikou,8.72,43.0,207,56604,14807,finished,142,43,7.37,12389,Drama
27,Death Note,8.71,44.0,9,338593,196965,finished,108,44,8.71,1013917,Drama
28,Natsume Yuujinchou,8.71,45.0,356,37217,9785,currently_publishing,0,45,8.42,210736,Drama
30,Akira,8.7,49.0,83,102926,34658,finished,120,49,8.15,215897,Action
31,Hunter x Hunter,8.69,50.0,22,212233,98323,currently_publishing,0,50,8.48,166255,Action
32,Hajime no Ippo,8.67,55.0,171,65549,29325,currently_publishing,0,55,8.83,157670,Action
33,Beck,8.67,56.0,193,59700,22551,finished,103,56,8.4,148328,Comedy
34,ReLIFE,8.66,59.0,53,138395,68967,finished,238,59,8.24,202249,Romance
36,Overlord,8.01,672.0,367,36088,12108,currently_publishing,0,672,8.04,244268,Action
39,Kono Subarashii Sekai ni Shukufuku wo!,7.95,763.0,746,18648,4896,currently_publishing,0,763,8.03,244877,Adventure
40,Gintama,8.61,71.0,128,82412,35684,finished,709,71,9.04,336376,Action
41,Shigatsu wa Kimi no Uso,8.61,74.0,158,69770,29751,finished,44,74,8.92,416397,Romance
42,Mob Psycho 100,8.6,75.0,107,90462,35780,finished,109,75,8.55,193716,Action
43,Pandora Hearts,8.59,80.0,46,144508,53330,finished,107,80,7.92,229567,Adventure
44,Rurouni Kenshin: Meiji Kenkaku Romantan,8.58,81.0,118,84377,42494,finished,259,81,8.43,218928,Action
46,Kino no Tabi: The Beautiful World,7.78,1215.0,5108,2877,663,finished,53,1215,8.46,102822,Adventure
47,Kino no Tabi: The Beautiful World,7.53,2350.0,8768,1482,344,finished,22,2350,8.46,102822,Adventure
48,Skip Beat!,8.58,83.0,122,83681,37135,currently_publishing,0,83,8.28,134818,Romance
49,Shingeki no Kyojin,8.58,86.0,1,548947,333294,finished,141,86,8.54,896229,Action
50,One Outs,8.57,87.0,495,26782,9608,finished,175,87,8.41,83056,Sports
52,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,7.42,3042.0,4791,3106,366,finished,19,3042,,251,Fantasy
53,Neon Genesis Evangelion,8.56,90.0,109,89367,39945,finished,97,90,8.32,461946,Action
55,Baccano!,7.52,2397.0,4846,3065,576,finished,22,2397,8.54,363215,Action
57,Fate/Zero,7.75,1300.0,2408,6403,1660,finished,79,1300,8.51,453630,Action
59,Ginga Eiyuu Densetsu,7.25,4572.0,10638,1132,176,finished,60,4572,9.11,80679,Action
60,Ginga Eiyuu Densetsu,7.11,6168.0,8726,1494,293,currently_publishing,0,6169,9.11,80679,Action
61,Sakamichi no Apollon,8.54,104.0,533,25181,9414,finished,45,104,8.48,146592,Drama
62,Kamisama Hajimemashita,8.53,107.0,143,76503,30998,finished,154,107,8.13,189641,Comedy
63,Chihayafuru,8.53,108.0,387,34658,10450,currently_publishing,0,108,8.32,158561,Sports
64,Tokyo Ghoul,8.52,110.0,4,405546,220273,finished,144,110,8.07,618056,Action
67,Ouran Koukou Host Club,8.51,114.0,71,113894,55011,finished,87,114,8.39,422271,Romance
69,Fruits Basket,8.51,115.0,61,127524,67253,finished,136,115,7.8,242553,Comedy
72,Bakemonogatari,8.51,118.0,523,25494,7482,currently_publishing,0,118,8.39,482268,Action
74,No Game No Life,7.99,712.0,493,26877,6781,currently_publishing,0,712,8.47,602291,Ecchi
75,Eyeshield 21,8.49,127.0,168,65766,31926,finished,333,127,8.08,83648,Action
76,Eyeshield 21,7.25,4579.0,10723,1121,327,finished,2,4579,8.08,83648,Action
77,Bungou Stray Dogs,8.48,130.0,174,64042,18828,currently_publishing,0,130,7.76,187805,Action
79,Kami nomi zo Shiru Sekai,8.48,134.0,86,101265,53010,finished,271,134,7.95,284846,Fantasy
81,Cross Game,8.47,135.0,797,17610,7529,finished,170,135,8.53,53108,Comedy
82,Kyou kara Ore wa!!,8.47,138.0,817,17192,5042,finished,366,138,8.15,7954,Comedy
83,Gekkan Shoujo Nozaki-kun,8.47,140.0,157,70157,20668,currently_publishing,0,140,8.24,292622,Comedy
84,Barakamon,8.45,151.0,392,34157,9801,finished,135,151,8.5,225927,Comedy
87,Noragami,8.43,160.0,41,155844,53670,currently_publishing,0,160,8.17,515378,Action
88,Nodame Cantabile,8.43,161.0,564,23859,8635,finished,150,161,8.46,157025,Comedy
89,Blade of the Immortal,8.43,162.0,178,62842,15565,finished,207,162,6.93,36058,Action
92,Kuroshitsuji,8.43,164.0,51,139715,57743,currently_publishing,0,164,8.06,424919,Action
93,Gunnm,8.42,166.0,166,66494,22469,finished,53,166,7.26,22648,Action
94,Glass no Kamen,8.42,167.0,1626,9249,2311,on_hiatus,0,167,7.52,4218,Drama
96,No.6,8.31,261.0,304,41877,15378,finished,35,261,7.76,168017,Action
99,Kimi no Na wa.,8.41,172.0,161,69069,26041,finished,9,172,9.37,200630,Drama
100,Bakuman.,8.41,175.0,45,153354,75178,finished,176,175,8.35,246899,Romance
102,Imawa no Kuni no Alice,8.41,179.0,244,49662,17095,finished,87,179,6.25,824,Action
103,Dragon Ball,8.4,181.0,60,128653,79391,finished,520,181,8.16,316102,Action
104,Kaichou wa Maid-sama!,8.4,183.0,48,143617,73500,finished,98,183,8.26,391628,Romance
108,Toaru Majutsu no Index,7.71,1461.0,1030,14033,4241,currently_publishing,0,1461,7.69,313114,Action
109,xxxHOLiC,8.38,195.0,153,72132,29993,finished,213,195,8.11,150872,Comedy
